Tipo_Transporte;aÒo;Num_trasporte;Total_transporte
Servicios de transporte de pasajeros por ferrocarril;201601;3;874.9
Servicios de transporte de pasajeros por carretera;201601;4;1642
Servicios de transporte de pasajeros por agua;201601;5;329.6
Servicios de transporte a√©reo de pasajeros;201601;6;4886.9
Servicios de alquiler de equipos de transporte;201601;7;666
Servicios de transporte de pasajeros por ferrocarril;201701;3;1045.4
Servicios de transporte de pasajeros por carretera;201701;4;1816.7
Servicios de transporte de pasajeros por agua;201701;5;384.6
Servicios de transporte a√©reo de pasajeros;201701;6;5675.3
Servicios de alquiler de equipos de transporte;201701;7;684
Servicios de transporte de pasajeros por ferrocarril;201801;3;979.2
Servicios de transporte de pasajeros por carretera;201801;4;1770.9
Servicios de transporte de pasajeros por agua;201801;5;333.1
Servicios de transporte a√©reo de pasajeros;201801;6;6034.5
Servicios de alquiler de equipos de transporte;201801;7;695.1
Servicios de transporte de pasajeros por ferrocarril;201901;3;600.9
Servicios de transporte de pasajeros por carretera;201901;4;1365.2
Servicios de transporte de pasajeros por agua;201901;5;281.2
Servicios de transporte a√©reo de pasajeros;201901;6;6005.6
Servicios de alquiler de equipos de transporte;201901;7;1456.6
Servicios de transporte de pasajeros por ferrocarril;202001;3;108.9
Servicios de transporte de pasajeros por carretera;202001;4;310.4
Servicios de transporte de pasajeros por agua;202001;5;48.9
Servicios de transporte a√©reo de pasajeros;202001;6;1424.3
Servicios de alquiler de equipos de transporte;202001;7;314.4
